Area,Address,City,County,Price
5042,15336 LAUDER Street,Detroit,Wayne,"$10,500 "
5055,13429 WILSHIRE,Detroit,Wayne,"$10,500 "
5055,18556 KINGSVILLE Street,Detroit,Wayne,"$10,500 "
5054,19928 GOULBURN Street,Detroit,Wayne,"$10,500 "
5101,4621 31ST Street,Detroit,Wayne,"$10,500 "
5032,20244 GILCHRIST Street,Detroit,Wayne,"$10,500 "
5041,19310 MEYERS Road,Detroit,Wayne,"$10,500 "
5055,14451 WADE Street,Detroit,Wayne,"$10,500 "
5092,7476 ARCHDALE Street,Detroit,Wayne,"$10,500 "
5092,6434 PENROD Street,Detroit,Wayne,"$10,500 "
5032,18464 ASBURY Park,Detroit,Wayne,"$10,500 "
5033,22241 LYNDON Street,Detroit,Wayne,"$10,500 "
5032,18934 FIELDING Street,Detroit,Wayne,"$10,500 "
5055,5577 Radnor St Street,Detroit,Wayne,"$10,500 "
5032,21444 CURTIS Street,Detroit,Wayne,"$10,500 "
5055,12591 ROSEMARY Street,Detroit,Wayne,"$10,500 "
5032,17603 LENORE,Detroit,Wayne,"$10,500 "
5043,618 MARSTON Street,Detroit,Wayne,"$10,500 "
5042,9937 TERRY Street,Detroit,Wayne,"$10,500 "
5033,16165 BRAILE Street,Detroit,Wayne,"$10,500 "
5066,289 NEWPORT Street,Detroit,Wayne,"$10,500 "
5101,1096 S DEACON Street,Detroit,Wayne,"$10,501 "
5054,14914 ALMA Street,Detroit,Wayne,"$10,513 "
5032,22077 PICKFORD Street,Detroit,Wayne,"$10,516 "
5051,20450 CHAREST Street,Detroit,Wayne,"$10,525 "
5034,11654 FAUST Avenue,Detroit,Wayne,"$10,525 "
5054,17320 ALBION Street,Detroit,Wayne,"$10,540 "
5043,2659 COLUMBUS Street,Detroit,Wayne,"$10,555 "
5055,5982 RADNOR Street,Detroit,Wayne,"$10,556 "
5054,14052 EASTBURN Street,Detroit,Wayne,"$10,600 "
5092,8290 MINOCK Street,Detroit,Wayne,"$10,600 "
5051,20257 MACKAY Street,Detroit,Wayne,"$10,601 "
5055,5922 HEREFORD Street,Detroit,Wayne,"$10,650 "
5054,16451 Manning,Detroit,Wayne,"$10,657 "
5032,18420 HARLOW Street,Detroit,Wayne,"$10,700 "
5055,11516 BEACONSFIELD Street,Detroit,Wayne,"$10,700 "
5042,11741 SUSSEX Street,Detroit,Wayne,"$10,727 "
5033,15377 KENTFIELD Street,Detroit,Wayne,"$10,750 "
5042,8388 CARLIN Street,Detroit,Wayne,"$10,800 "
5032,17197 MANSFIELD Street,Detroit,Wayne,"$10,900 "
5032,19467 RUTHERFORD Street,Detroit,Wayne,"$10,900 "
5054,16085 LAPPIN Street,Detroit,Wayne,"$10,900 "
5042,15789 APPOLINE Street,Detroit,Wayne,"$10,924 "
5042,8348 CARLIN Street,Detroit,Wayne,"$10,924 "
5054,14116 MAPLERIDGE Street,Detroit,Wayne,"$10,924 "
5032,18411 OAKFIELD Street,Detroit,Wayne,"$10,924 "
5042,16689 HUBBELL Street,Detroit,Wayne,"$10,924 "
5051,20138 SPENCER Street,Detroit,Wayne,"$10,924 "
5051,19418 MITCHELL Street,Detroit,Wayne,"$10,924 "
5042,15863 SORRENTO Street,Detroit,Wayne,"$10,936 "
5054,18033 Albion,Detroit,Wayne,"$11,000 "
5052,3869 GARLAND Street,Detroit,Wayne,"$11,000 "
5054,18033 ALBION Street,Detroit,Wayne,"$11,000 "
5052,3869 GARLAND,DETROIT,Wayne,"$11,000 "
5034,9535 RUTHERFORD,DETROIT,Wayne,"$11,000 "
5043,3225 GLENDALE Street,Detroit,Wayne,"$11,000 "
5092,6550 RUTHERFORD Street,Detroit,Wayne,"$11,000 "
5054,15016 ROSSINI,Detroit,Wayne,"$11,000 "
5055,5532 THREE MILE,Detroit,Wayne,"$11,000 "
5092,6355 FORRER Street,Detroit,Wayne,"$11,000 "
5055,9170 GRAYTON Street,Detroit,Wayne,"$11,000 "
5055,11175 ROSSITER Street,Detroit,Wayne,"$11,000 "
5032,19341 AVON Avenue,Detroit,Wayne,"$11,000 "
5034,9976 PIERSON Street,Detroit,Wayne,"$11,000 "
5041,17511 STOEPEL Street,Detroit,Wayne,"$11,000 "
5033,22504 RAY Street,Detroit,Wayne,"$11,000 "
5055,9188 DEVONSHIRE,DETROIT,Wayne,"$11,000 "
5055,4375 Courville,Detroit,Wayne,"$11,000 "
5066,3023 MONTCLAIR Street,Detroit,Wayne,"$11,000 "
5101,4079 ROOSEVELT Street,Detroit,Wayne,"$11,000 "
5055,3990 Berkshire,Detroit,Wayne,"$11,000 "
5042,14570 SUSSEX Street,Detroit,Wayne,"$11,000 "
5033,16890 WOODBINE Street,Detroit,Wayne,"$11,000 "
5032,19800 EVERGREEN Road,Detroit,Wayne,"$11,000 "
5055,9188 DEVONSHIRE Road,Detroit,Wayne,"$11,000 "
5042,9990 ROBSON Street,Detroit,Wayne,"$11,000 "
5041,17134 PINEHURST Street,Detroit,Wayne,"$11,000 "
5055,12541 ROSEMARY Street,Detroit,Wayne,"$11,000 "
5042,15703 SNOWDEN Street,Detroit,Wayne,"$11,000 "
5041,20419 WASHBURN Street,Detroit,Wayne,"$11,000 "
5092,6424 PIEDMONT Street,Detroit,Wayne,"$11,000 "
5033,15495 LINDSAY Street,Detroit,Wayne,"$11,000 "
5041,20444 WASHBURN Street,Detroit,Wayne,"$11,000 "
5092,6235 WESTWOOD Street,Detroit,Wayne,"$11,000 "
5041,19934 MANOR Street,Detroit,Wayne,"$11,000 "
5033,15343 WINTHROP Street,Detroit,Wayne,"$11,000 "
5041,20455 WYOMING Street,Detroit,Wayne,"$11,000 "
5092,7752 Grandville,Detroit,Wayne,"$11,000 "
5092,7390 PENROD Street,Detroit,Wayne,"$11,000 "
5042,14518 PREST Street,Detroit,Wayne,"$11,000 "
5033,15847 MURRAY HILL Street,Detroit,Wayne,"$11,000 "
5055,6166 MARSEILLES Street,Detroit,Wayne,"$11,000 "
5092,9974 west parkway,Detroit,Wayne,"$11,000 "
5054,17154 BRADFORD Street,Detroit,Wayne,"$11,000 "
5092,7835 Archdale,Detroit,Wayne,"$11,000 "
5033,15020 METTETAL Street,Detroit,Wayne,"$11,000 "
5033,22615 W MC NICHOLS,Detroit,Wayne,"$11,000 "
5042,11415 MARK TWAIN Street,Detroit,Wayne,"$11,000 "
5055,9584 E OUTER Drive,Detroit,Wayne,"$11,000 "
5055,12265 RIAD Street,Detroit,Wayne,"$11,000 "
5033,16530 FIVE POINTS Street,Detroit,Wayne,"$11,015 "
5051,18897 SHIELDS Street,Detroit,Wayne,"$11,025 "
5042,16583 PREST Street,Detroit,Wayne,"$11,026 "
