Area,Address,City,County,Price,full_address,latitude,longitude
5041,18500 PENNINGTON Drive,Detroit,Wayne,"$85,000","18500 PENNINGTON Drive, Detroit, Wayne",42.42756019999999,-83.1476438
5101,1402 CAMPBELL Street,Detroit,Wayne,"$85,000","1402 CAMPBELL Street, Detroit, Wayne",42.3134073,-83.1005924
5033,16541 ASHTON Avenue S,Detroit,Wayne,"$85,000","16541 ASHTON Avenue S, Detroit, Wayne",42.410748,-83.2201506
5033,16831 ASHTON Avenue,Detroit,Wayne,"$85,000","16831 ASHTON Avenue, Detroit, Wayne",42.414241,-83.2203332
5033,14880 ARTESIAN Street,Detroit,Wayne,"$85,000","14880 ARTESIAN Street, Detroit, Wayne",42.3971881,-83.2272043
5041,18100 WHITCOMB Street,Detroit,Wayne,"$85,000","18100 WHITCOMB Street, Detroit, Wayne",42.4229489,-83.1967861
5033,14636 WOODMONT Avenue,Detroit,Wayne,"$85,000","14636 WOODMONT Avenue, Detroit, Wayne",42.3957516,-83.2089897
5101,2256 WABASH Street,Detroit,Wayne,"$85,000","2256 WABASH Street, Detroit, Wayne",42.33087159999999,-83.07442019999999
5043,149 TAYLOR Street,Detroit,Wayne,"$85,000","149 TAYLOR Street, Detroit, Wayne",42.3808571,-83.08370719999999
5033,8826 W OUTER Drive,Detroit,Wayne,"$85,000","8826 W OUTER Drive, Detroit, Wayne",42.4171918,-83.2321795
5053,500 E GRAND Boulevard,Detroit,Wayne,"$85,000","500 E GRAND Boulevard, Detroit, Wayne",42.3574332,-83.008027
5066,740 MONTCLAIR Street,Detroit,Wayne,"$85,000","740 MONTCLAIR Street, Detroit, Wayne",42.3627674,-82.9738795
5066,700 MONTCLAIR Street,Detroit,Wayne,"$85,000","700 MONTCLAIR Street, Detroit, Wayne",42.3625061,-82.9737229
5041,20428 BRIARCLIFF Road,Detroit,Wayne,"$85,000","20428 BRIARCLIFF Road, Detroit, Wayne",42.444357,-83.13366529999999
5041,276 Montana,Detroit,Wayne,"$85,000","276 Montana, Detroit, Wayne",42.4233638,-83.1071937
5032,20365 ARCHER Street,Detroit,Wayne,"$86,000","20365 ARCHER Street, Detroit, Wayne",42.4419169,-83.2675637
